,batch,epoch,first_picks_top_1,first_picks_top_2,first_picks_top_3,loss,top1,top2,top3
1863,845,1,44.94750201702118,58.37675929069519,71.89162373542786,401.2095947265625,0.4765201210975647,0.6809943318367004,0.8057386875152588
1864,846,1,41.053733229637146,58.44650864601135,68.96721124649048,717.5792236328125,0.4566608667373657,0.6694842576980591,0.7961373329162598
1865,847,1,46.43415808677673,62.20746636390686,73.46424460411072,401.1646423339844,0.4543357491493225,0.6664179563522339,0.7862778902053833
1866,848,1,43.053415417671204,63.223469257354736,74.18655157089233,700.2731323242188,0.4577535390853882,0.6904891133308411,0.8066200017929077
1867,849,1,47.77942597866058,64.67258334159851,76.13934874534607,580.4839477539062,0.4735566973686218,0.6842409372329712,0.8127177357673645
1868,850,1,47.182679176330566,63.60454559326172,72.64726161956787,565.5225219726562,0.4525865912437439,0.6661234498023987,0.7862019538879395
1869,851,1,41.37989580631256,59.306442737579346,68.57538223266602,480.0994567871094,0.45138680934906006,0.6605714559555054,0.7841222882270813
1870,852,1,42.549774050712585,61.68821454048157,71.11096382141113,742.60546875,0.4688964784145355,0.6843350529670715,0.802047848701477
1871,853,1,39.70515429973602,57.07729458808899,69.25697326660156,407.31243896484375,0.43349769711494446,0.6529400944709778,0.7731064558029175
1872,854,1,46.49018347263336,63.55975270271301,74.66078996658325,530.366943359375,0.46548211574554443,0.6899291276931763,0.8144549131393433
1873,855,1,43.99729371070862,61.235737800598145,73.57600331306458,557.2443237304688,0.44939282536506653,0.6666651964187622,0.7935628890991211
1874,856,1,40.96176326274872,63.775867223739624,73.5386848449707,649.7833862304688,0.4745383858680725,0.6877884864807129,0.8037230372428894
1875,857,1,40.9464031457901,61.58508062362671,71.98935747146606,578.741943359375,0.43270522356033325,0.6502103209495544,0.7861534357070923
1876,858,1,42.35366880893707,59.61707830429077,70.58982253074646,548.1240234375,0.4611009359359741,0.6744940280914307,0.8010904788970947
1877,859,1,42.98396706581116,65.00584483146667,73.80210161209106,487.97686767578125,0.4497212767601013,0.6672406196594238,0.7872190475463867
1878,860,1,39.9161159992218,55.59908747673035,70.69620490074158,510.22509765625,0.4385306239128113,0.6523469686508179,0.7868955135345459
1879,861,1,43.725135922431946,61.87215447425842,74.5696485042572,396.65362548828125,0.4450806975364685,0.657968282699585,0.7865428924560547
1880,862,1,40.21226465702057,60.62830090522766,74.31942820549011,690.3067016601562,0.4592611491680145,0.6769044399261475,0.7954879999160767
1881,863,1,39.55530822277069,55.50529360771179,70.86108326911926,374.84637451171875,0.45455920696258545,0.6653662323951721,0.7897624373435974
1882,864,1,44.14529204368591,64.47216868400574,73.80553483963013,796.0030517578125,0.4704228937625885,0.6725087761878967,0.7941696047782898
1883,865,1,45.20637094974518,62.34208941459656,75.90916156768799,504.7937927246094,0.44214749336242676,0.6582365036010742,0.7922973036766052
1884,866,1,33.2454115152359,52.287447452545166,67.93950200080872,565.8819580078125,0.42909517884254456,0.6379729509353638,0.7683081030845642
1885,867,1,42.273977398872375,63.7368381023407,76.52480602264404,560.5494995117188,0.4392464756965637,0.6537678241729736,0.7855994701385498
1886,868,1,43.193334341049194,62.76593208312988,73.0633795261383,597.4017944335938,0.45421528816223145,0.6768041849136353,0.8020529747009277
1887,869,1,33.496296405792236,57.05133080482483,69.97068524360657,407.1597595214844,0.4370502233505249,0.6557504534721375,0.7871147394180298
1888,870,1,41.5740966796875,60.095417499542236,71.21391892433167,575.2301025390625,0.4580996036529541,0.6766601800918579,0.7961467504501343
1889,871,1,39.215248823165894,59.59396958351135,72.88042902946472,572.328857421875,0.4576786756515503,0.6816216707229614,0.7987964153289795
1890,872,1,45.07996141910553,65.67657589912415,77.42286920547485,665.5357666015625,0.47039374709129333,0.6938141584396362,0.8135607242584229
1891,873,1,38.61541748046875,58.91364812850952,71.96508049964905,330.44683837890625,0.45468440651893616,0.6663103103637695,0.7877802848815918
1892,874,1,47.314655780792236,63.671523332595825,75.52186250686646,730.01708984375,0.4714258909225464,0.6803097724914551,0.7999326586723328
1893,875,1,40.55701792240143,60.08405089378357,71.01055979728699,647.88623046875,0.44655758142471313,0.6704517602920532,0.8009486794471741
1894,876,1,40.77069163322449,61.62589192390442,72.8086769580841,483.1733093261719,0.4535580277442932,0.6617160439491272,0.7905445694923401
1895,877,1,44.694653153419495,62.140101194381714,73.85618686676025,562.04248046875,0.46201276779174805,0.6741659641265869,0.7944674491882324
1896,878,1,41.656139492988586,60.44292449951172,71.30545973777771,510.30352783203125,0.459921658039093,0.6644960045814514,0.7947686910629272
1897,879,1,42.76789724826813,58.426010608673096,71.31770849227905,599.8695678710938,0.4614063501358032,0.6784777641296387,0.805560290813446
1898,880,1,45.05200684070587,62.245017290115356,73.73150587081909,572.9864501953125,0.4443647563457489,0.6648935675621033,0.7913904786109924
1899,881,1,42.32693314552307,62.85662651062012,76.23158693313599,455.7865905761719,0.4596393406391144,0.6692107319831848,0.7966536283493042
1900,882,1,44.51530873775482,60.38442254066467,69.54312324523926,483.68890380859375,0.46629366278648376,0.6671529412269592,0.7917657494544983
1901,883,1,40.88824391365051,58.66051912307739,69.52713131904602,382.0703125,0.45195719599723816,0.6646449565887451,0.7936141490936279
1902,884,1,40.25611877441406,60.338032245635986,73.93966317176819,423.47637939453125,0.43868759274482727,0.6591270565986633,0.7858741283416748
1903,885,1,44.88363862037659,64.53441381454468,77.09543704986572,486.5843505859375,0.4774627089500427,0.682148814201355,0.806341826915741
1904,886,1,47.931504249572754,64.2844021320343,76.05924606323242,338.2253112792969,0.4583965837955475,0.6686669588088989,0.7941524982452393
1905,887,1,34.69989597797394,53.38478088378906,71.39256000518799,585.6875610351562,0.4179505705833435,0.6338014602661133,0.7765939831733704
